nCount_RNA	limbtype	Pitx1
16359	HLWT	0
27422	HLWT	4
27335	HLWT	10
20996	HLWT	4
12453	HLWT	17
11124	HLWT	1
18894	HLWT	4
32057	HLWT	2
10011	HLWT	1
12734	HLWT	2
20638	HLWT	9
18543	HLWT	0
16602	HLWT	4
14434	HLWT	0
15700	HLWT	2
12248	HLWT	11
4565	HLWT	1
18392	HLWT	1
14690	HLWT	4
9427	HLWT	5
11681	HLWT	13
29180	HLWT	13
18901	HLWT	27
14370	HLWT	1
23729	HLWT	1
29273	HLWT	1
28710	HLWT	0
17375	HLWT	5
10896	HLWT	6
17489	HLWT	8
12232	HLWT	13
13489	HLWT	1
25544	HLWT	0
17455	HLWT	0
8185	HLWT	5
10495	HLWT	3
12259	HLWT	1
12378	HLWT	17
16184	HLWT	8
8932	HLWT	0
7896	HLWT	2
25283	HLWT	15
21347	HLWT	14
11575	HLWT	0
13088	HLWT	0
10277	HLWT	0
11025	HLWT	11
10904	HLWT	2
9951	HLWT	1
9917	HLWT	7
18434	HLWT	2
15991	HLWT	15
35733	HLWT	3
11879	HLWT	0
7898	HLWT	7
25593	HLWT	6
7322	HLWT	1
7172	HLWT	2
52629	HLWT	6
7602	HLWT	9
14744	HLWT	4
7680	HLWT	4
17813	HLWT	1
14905	HLWT	2
12504	HLWT	4
8754	HLWT	0
11052	HLWT	1
11019	HLWT	0
3259	HLWT	11
9127	HLWT	3
3598	HLWT	0
9866	HLWT	6
7918	HLWT	0
27961	HLWT	0
19168	HLWT	4
11454	HLWT	0
12250	HLWT	5
19112	HLWT	0
15619	HLWT	1
20987	HLWT	9
9000	HLWT	15
15992	HLWT	3
19515	HLWT	11
16761	HLWT	1
11180	HLWT	0
6868	HLWT	3
9628	HLWT	8
19962	HLWT	3
11199	HLWT	2
4667	HLWT	0
9006	HLWT	0
12426	HLWT	5
13059	HLWT	4
11486	HLWT	0
26039	HLWT	3
9914	HLWT	1
15881	HLWT	10
8656	HLWT	3
11628	HLWT	4
17461	HLWT	1
18377	HLWT	2
12379	HLWT	0
7645	HLWT	1
19299	HLWT	5
13245	HLWT	5
8274	HLWT	0
15548	HLWT	0
11451	HLWT	2
14624	HLWT	5
16015	HLWT	5
9746	HLWT	0
11604	HLWT	2
11656	HLWT	9
17816	HLWT	5
13293	HLWT	8
10202	HLWT	1
11879	HLWT	0
9453	HLWT	1
7555	HLWT	11
10316	HLWT	6
12339	HLWT	0
11472	HLWT	8
1616	HLWT	1
12816	HLWT	7
14635	HLWT	3
5943	HLWT	0
15774	HLWT	1
10792	HLWT	3
16641	HLWT	3
